,datetime,shape,duration (seconds),comments,latitude,longitude ,date,time
46718,6/11/1996 01:00,disk,900,UFO seen In maine,43.8205556,-69.8152778,1996,01:00
50050,6/19/1996 10:00,disk,240,Disc shaped craft in downtwon Tampa&#44 FL in 1996,27.9472222,-82.4586111,1996,10:00
79056,9/4/1996 21:30,triangle,1200.0,It was large&#44 fast&#44  transparent&#44 only two hundred yards away&#44 and made absolutley no sound at any time.,38.8119444,-94.5316667,1996,21:30
68516,8/2/1996 11:33,circle,10.0,I was raised and served in the military my first 20 yrs. I was a police officer (Elected Sheriff)for a four year term of office.I was a,39.9555556,-86.0138889,1996,11:33
68515,8/2/1996 11:33,circle,10.0,ADDENDUM #2:  Stationary circurlar object tilts up on it&#39s axis&#44pulses white inside&#44disappears into slit opening hole in the sky,39.9555556,-86.0138889,1996,11:33
52908,6/30/1996 00:00,circle,180,wired hypnsis wheel lights on craft,40.7608333,-111.8902778,1996,00:00
59140,7/23/1996 22:30,disk,300,as the ufo took off at very high speed &#44the jets coming in 10 to 15 minutes later meant it was definately something.,36.5858333,-79.3952778,1996,22:30
20161,12/24/1996 10:30,triangle,300,Triangle w/ 1 light on each point.,40.2736111,-76.8847222,1996,10:30
18635,12/17/1996 20:17,triangle,40,triangular shape&#44 rounded on ends&#44 1 lg yellow/orange light on each corner of triangle,30.7750000,-94.4152778,1996,20:17
21431,12/31/1996 20:00,circle,30,I looked up and saw four circular objects flying in and out of each other. Then they all lined up in a row and took off quickly and dis,42.5750000,-71.9986111,1996,20:00
21430,12/31/1996 18:30,disk,900,Craft was spotted hovering over the city.,32.2216667,-110.9258333,1996,18:30
66421,8/15/1996 01:00,circle,3600.0,Several strange lights in Texas,33.5777778,-101.8547222,1996,01:00
66422,8/15/1996 01:00,disk,180.0,Disk-shaped blue&#44 white&#44 red lights,29.7027778,-98.1241667,1996,01:00
30020,2/9/1996 10:00,disk,180,Beautiful gold colored disk up close,36.5858333,-79.3952778,1996,10:00
